old_slug,action,new_slug,doc_type,redirect,notes
guides/developer/virtual-views,move,semantic-layer/virtual-views,reference,yes,150w stub absorbs the much deeper virtual-views section split out of dashboards-as-code
guides/developer/vs-code-yaml-validation,merge,workflow/set-up-vs-code,tutorial,yes,"merge with as-code VS Code section: one page, both schema URLs; verb-first tutorial"
guides/embedding/ai-agents,move,embed/embed-ai-agents,tutorial,yes,verb-first tutorial
guides/embedding/charts,move,embed/embed-charts,tutorial,yes,verb-first tutorial
guides/embedding/dashboards,move,embed/embed-dashboards,tutorial,yes,verb-first tutorial
guides/embedding/data-apps,move,embed/embed-data-apps,tutorial,yes,verb-first tutorial
guides/embedding/how-to-embed-content,move,embed/set-up-embedding,tutorial,yes,CANONICAL setup steps; dashboards guide links instead of repeating steps 1-4; quickstart singleton
guides/embedding/metrics-catalog,move,embed/embed-metrics-catalog,tutorial,yes,verb-first tutorial
guides/filters,move,explore/filters-reference,reference,yes,reference page; pairs with explore/filter-your-data (tutorial)
guides/formatting-your-fields,move,explore/formatting-your-fields,reference,yes,task guide; format/compact tables move to shared snippet used by semantic-layer/metrics+dimensions
guides/formula-table-calculations,move,explore/table-calculations/formulas,reference,yes,canonical home for calc patterns; SQL templates cross-link here
guides/how-to-create-alerts,move,explore/create-alerts,tutorial,yes,Slack/Teams destination-setup steps -> shared snippet with scheduled-deliveries; verb-first tutorial
guides/how-to-create-scheduled-deliveries,move,explore/create-scheduled-deliveries,tutorial,yes,Slack/Teams destination-setup steps -> shared snippet with alerts; verb-first tutorial
guides/how-to-promote-content,move,explore/promote-content,tutorial,yes,drop how-to- slug prefix; verb-first tutorial
guides/instance-health-best-practices,move,workspace-admin/instance-health,guide,yes,admin-audience adoption/health content
guides/keyboard-shortcuts,move,explore/keyboard-shortcuts,reference,yes,expand: only 3 shortcuts documented
guides/lightdash-semantic-layer,move,semantic-layer,docs,yes,AI section condenses to link -> agents; bare landing slug (principle 12)
guides/lightdash-yaml,move,semantic-layer/yaml,docs,yes,validate/deploy/install-skills steps link to cli pages instead of restating
guides/limiting-data-using-filters,move,explore/filter-your-data,tutorial,yes,the actual 'using filters' how-to takes the natural slug; verb-first tutorial
guides/metrics-catalog/catalog,move,explore/metrics-catalog/curate-the-catalog,tutorial,yes,verb-first tutorial
guides/metrics-catalog/drivers,move,explore/metrics-catalog/drivers,reference,yes,
guides/metrics-catalog/saved-trees,move,explore/metrics-catalog/build-saved-trees,tutorial,yes,verb-first tutorial
guides/metrics-catalog,move,explore/metrics-catalog,reference,yes,
guides/period-over-period,move,explore/compare-periods,tutorial,yes,replace ad-hoc lag() snippets with links to explore/table-calculations/formulas patterns; verb-first tutorial
guides/table-calculations/sql-templates,move,explore/table-calculations/sql-templates,reference,yes,recipes hub; every template must link the native function that supersedes it
guides/table-calculations/table-calculation-sql-templates/percent-change-from-previous,move,explore/table-calculations/sql-templates/percent-change-from-previous,reference,yes,
guides/table-calculations/table-calculation-sql-templates/percent-of-group-pivot-total,move,explore/table-calculations/sql-templates/percent-of-group-pivot-total,reference,yes,
guides/table-calculations/table-calculation-sql-templates/percent-of-previous-value,move,explore/table-calculations/sql-templates/percent-of-previous-value,reference,yes,
guides/table-calculations/table-calculation-sql-templates/percent-of-total-column,move,explore/table-calculations/sql-templates/percent-of-total-column,reference,yes,
guides/table-calculations/table-calculation-sql-templates/rank-in-column,move,explore/table-calculations/sql-templates/rank-in-column,reference,yes,
guides/table-calculations/table-calculation-sql-templates/rolling-window,move,explore/table-calculations/sql-templates/rolling-window,reference,yes,
guides/table-calculations/table-calculation-sql-templates/running-total,move,explore/table-calculations/sql-templates/running-total,reference,yes,
guides/table-calculations,move,explore/create-table-calculations,tutorial,yes,how-to hub; formatting section defers to explore/formatting-your-fields snippet; verb-first tutorial
guides/using-slack-integration,merge,integrations/slack,reference,yes,70-word video stub; fold usage section into canonical Slack page
guides/verified-content,move,explore/verified-content,docs,yes,
guides/version-history,move,explore/version-history,docs,yes,
introduction,keep,introduction,docs,no,expand: thin landing; 'Context Layer' term used but never defined or linked
references/admin,move,workspace-admin,docs,yes,rewrite as the workspace-admin area landing (root + directory:card); currently a thin admin stub
references/chart-types/area-chart,move,explore/chart-types/area-chart,reference,yes,
references/chart-types/bar-chart,move,explore/chart-types/bar-chart,reference,yes,
references/chart-types/big-value,move,explore/chart-types/big-value,reference,yes,
references/chart-types/custom-charts,move,explore/chart-types/custom-charts,reference,yes,
references/chart-types/funnel-chart,move,explore/chart-types/funnel-chart,reference,yes,
references/chart-types/gauge,move,explore/chart-types/gauge,reference,yes,
references/chart-types/horizontal-bar-chart,merge,explore/chart-types/bar-chart,reference,yes,62-word stub -> 'Horizontal bar' section on bar-chart
references/chart-types/line-chart,move,explore/chart-types/line-chart,reference,yes,
references/chart-types/map,move,explore/chart-types/map,reference,yes,
references/chart-types/mixed-chart,move,explore/chart-types/mixed-chart,reference,yes,
references/chart-types/overview,move,explore/chart-types,reference,yes,bare landing slug (principle 12)
references/chart-types/pie-chart,move,explore/chart-types/pie-chart,reference,yes,
references/chart-types/sankey,move,explore/chart-types/sankey,reference,yes,
references/chart-types/scatter-chart,move,explore/chart-types/scatter-chart,reference,yes,
references/chart-types/table,move,explore/chart-types/table,reference,yes,
references/chart-types/treemap-chart,move,explore/chart-types/treemap-chart,reference,yes,
references/dimensions,move,semantic-layer/dimensions,reference,yes,format tables -> snippet; granularity + case_sensitive get one canonical home (see plan)
references/embedding,move,embed/reference,reference,yes,token/JWT reference; guide pages keep worked examples (intentional mirror)
references/iframe-embedding,move,embed/iframe,reference,yes,
references/integrations/dbt-metricflow,move,semantic-layer/dbt/metricflow,reference,yes,
references/integrations/dbt-projects,move,semantic-layer/dbt/projects,reference,yes,deploy mechanism defers to workflow/cli/deploy
references/integrations/google-sheets,move,integrations/sync-google-sheets,tutorial,yes,verb-first tutorial
references/integrations/lightdash-mcp,move,agents/lightdash-mcp,reference,yes,single nav home (agents); the integrations landing links; removes dup nav entry
references/integrations/metrics-sql-api,move,integrations/metrics-sql-api,reference,yes,
references/integrations/slack-integration,move,integrations/slack,reference,yes,CANONICAL Slack page; absorbs using-slack-integration (usage) + adding-slack-integration (install)
references/integrations/snowflake-cortex,move,integrations/snowflake-cortex,docs,yes,"agentic-development content; drop re-explained MCP setup, link agents/lightdash-mcp"
references/integrations,move,integrations,reference,yes,fix: index missing 3 of 7 children; card copy truncated mid-sentence; bare landing slug (principle 12)
references/joins,move,semantic-layer/joins,reference,yes,
references/lightdash-cli,move,workflow/cli/reference,reference,yes,flag-by-flag catalog; drop duplicated CI example + deploy warning (link canonical)
references/lightdash-config-yml,move,semantic-layer/lightdash-config-yml,reference,yes,parameters + spotlight + granularity sections defer to canonical pages
references/metrics,move,semantic-layer/metrics,reference,yes,format/compact tables -> shared field-formatting snippet
references/organization-credentials,move,workspace-admin/organization-credentials,reference,yes,"fix out-of-order numbered steps (1,2,4,5,6,8,7)"
references/pre-aggregates/cli-audit,move,semantic-layer/pre-aggregates/audit-with-cli,tutorial,yes,verb-first tutorial
references/pre-aggregates/getting-started,move,semantic-layer/pre-aggregates/getting-started,reference,yes,owns the filtered-pre-aggregate worked example
references/pre-aggregates/monitoring,move,semantic-layer/pre-aggregates/monitoring,reference,yes,
references/pre-aggregates/overview,move,semantic-layer/pre-aggregates,docs,yes,drop duplicated filtered-pre-agg example (getting-started owns it); link caching comparison; bare landing slug (principle 12)
references/react-sdk,move,embed/react-sdk,reference,yes,
references/sql-variables,move,semantic-layer/sql-variables,reference,yes,
references/table-calculation-functions/aggregate-functions,move,explore/table-calculations/functions/aggregate-functions,reference,yes,
references/table-calculation-functions/pivot-functions,move,explore/table-calculations/functions/pivot-functions,reference,yes,
references/table-calculation-functions/row-functions,move,explore/table-calculations/functions/row-functions,reference,yes,
references/tables,move,semantic-layer/tables,reference,yes,parameters property table -> link semantic-layer/parameters canonical
references/workspace/adding-slack-integration,merge,integrations/slack,reference,yes,install walkthrough becomes Install section of canonical Slack page
references/workspace/configure-sso,move,workspace-admin/sso/setup,reference,yes,setup steps; drop duplicated framing
references/workspace/custom-email-domain,move,workspace-admin/set-up-custom-email-domain,tutorial,yes,verb-first tutorial
references/workspace/custom-roles,move,workspace-admin/custom-roles,reference,yes,as-code section stays a link to workflow/content-as-code
references/workspace/customizing-the-appearance-of-your-project,move,workspace-admin/appearance,reference,yes,align slug/title/sidebar; fix 'Description:' frontmatter casing bug
references/workspace/default-user-spaces,move,explore/default-user-spaces,reference,yes,
references/workspace/export-limits,move,workspace-admin/export-limits,reference,yes,
references/workspace/feature-maturity-levels,move,help/feature-maturity-levels,docs,yes,"product-wide glossary, not workspace admin"
references/workspace/groups,move,workspace-admin/manage-groups,tutorial,yes,delete deprecated OKTA section; link scim-integration; verb-first tutorial
references/workspace/how-to-create-multiple-projects,move,workspace-admin/manage-projects,tutorial,yes,rename: page covers create/switch/delete; verb-first tutorial
references/workspace/managing-your-organization,move,workspace-admin/manage-your-organization,tutorial,yes,verb-first tutorial
references/workspace/personal-tokens,move,personal-settings/create-personal-tokens,tutorial,yes,expand: no lifecycle/rotation/expiry content; verb-first tutorial
references/workspace/personal-warehouse-connections,move,personal-settings/personal-warehouse-connections,reference,yes,cross-link org-credentials BOTH ways
references/workspace/pinning,move,explore/pin-content,tutorial,yes,verb-first tutorial
references/workspace/project-compilation-history,move,workspace-admin/project-compilation-history,reference,yes,
references/workspace/roles,move,workspace-admin/roles,reference,yes,CANONICAL space-roles table + allowed-email-domains
references/workspace/scim-integration,move,workspace-admin/scim-integration,reference,yes,530-line mix; optional later split: setup guide vs role-provisioning reference
references/workspace/service-accounts,move,workspace-admin/service-accounts,reference,yes,
references/workspace/spaces,move,explore/spaces,reference,yes,drop prose re-description of Space Roles; link workspace-admin/roles canonical table
references/workspace/sso-providers,move,workspace-admin/sso,reference,yes,providers+availability; verified-domain prereq stated ONCE here; bare landing slug (principle 12)
references/workspace/support-impersonation,move,workspace-admin/support-access,reference,yes,rename to match title 'Lightdash support access'; shared snippet
references/workspace/usage-analytics,move,workspace-admin/usage-analytics,reference,yes,
references/workspace/user-attributes,move,workspace-admin/user-attributes,reference,yes,
references/workspace/user-impersonation,move,workspace-admin/user-impersonation,reference,yes,remove shipped TODO comment; shared how-impersonation-works snippet
references/workspace/verified-domains,move,workspace-admin/sso/verified-domains,reference,yes,CANONICAL 'override organization domains' routing mechanic
references/writing-descriptions,move,semantic-layer/writing-descriptions,guide,yes,canonical ai_hint teaching; agents/effective-analytics-with-agents condenses to link
sdk/python-sdk,keep,sdk/python-sdk,reference,no,
self-host/customize-deployment/configure-a-slack-app-for-lightdash,keep,self-host/customize-deployment/configure-a-slack-app-for-lightdash,tutorial,no,
self-host/customize-deployment/configure-github-for-lightdash,keep,self-host/customize-deployment/configure-github-for-lightdash,tutorial,no,
self-host/customize-deployment/configure-lightdash-to-use-an-external-database,keep,self-host/customize-deployment/configure-lightdash-to-use-an-external-database,tutorial,no,
self-host/customize-deployment/configure-lightdash-to-use-external-object-storage,keep,self-host/customize-deployment/configure-lightdash-to-use-external-object-storage,tutorial,no,
self-host/customize-deployment/configure-logging-for-lightdash,keep,self-host/customize-deployment/configure-logging-for-lightdash,reference,no,
self-host/customize-deployment/configure-mcp-for-lightdash,keep,self-host/customize-deployment/configure-mcp-for-lightdash,tutorial,no,
self-host/customize-deployment/configure-prometheus-metrics-for-self-hosted-lightdash,keep,self-host/customize-deployment/configure-prometheus-metrics-for-self-hosted-lightdash,reference,no,
self-host/customize-deployment/configure-smtp-for-lightdash-email-notifications,keep,self-host/customize-deployment/configure-smtp-for-lightdash-email-notifications,reference,no,
self-host/customize-deployment/configure-standalone-scheduled-worker,move,self-host/customize-deployment/scheduler,reference,yes,rename: canonical scheduler page (title/topic collision with the stub it replaces)
self-host/customize-deployment/enable-headless-browser-for-lightdash,keep,self-host/customize-deployment/enable-headless-browser-for-lightdash,tutorial,no,#verify: browserless version conflict v2.24.3 vs checklist v2.49.0
self-host/customize-deployment/enable-scheduler-in-self-hosted-lightdash,delete,,reference,no,'Coming soon' stub for a feature that needs no enabling; redirect to scheduler
self-host/customize-deployment/enterprise-license-keys,keep,self-host/customize-deployment/enterprise-license-keys,reference,no,CANONICAL license setup; enterprise-on-prem condenses to link
self-host/customize-deployment/environment-variables,keep,self-host/customize-deployment/environment-variables,reference,no,"CANONICAL env-var tables; per-feature pages embed their subset via snippets (drift already occurred: SMTP, Prometheus, NATS)"
self-host/customize-deployment/google-sheets-integration,move,self-host/customize-deployment/configure-google-sheets-integration,tutorial,yes,verb-first tutorial
self-host/customize-deployment/recommended-resources,keep,self-host/customize-deployment/recommended-resources,reference,no,#verify: scheduler CPU 1 vs checklist 500m
self-host/customize-deployment/sandboxes,keep,self-host/customize-deployment/sandboxes,reference,no,
self-host/customize-deployment/secure-lightdash-with-https,keep,self-host/customize-deployment/secure-lightdash-with-https,tutorial,no,expand: pull SECURE_COOKIES/TRUST_PROXY rationale in from checklist; checklist condenses to link
self-host/customize-deployment/use-sso-login-for-self-hosted-lightdash,keep,self-host/customize-deployment/use-sso-login-for-self-hosted-lightdash,tutorial,no,
self-host/enterprise-on-prem,keep,self-host/enterprise-on-prem,reference,no,
self-host/lightdash-cloud-vs-self-hosted,keep,self-host/lightdash-cloud-vs-self-hosted,docs,no,
self-host/nats-workers/overview,move,self-host/nats-workers,reference,yes,#verify: NATS_ENABLED semantics contradict environment-variables page; bare landing slug (principle 12)
self-host/nats-workers/pre-aggregate-workers,keep,self-host/nats-workers/pre-aggregate-workers,reference,no,
self-host/nats-workers/warehouse-workers,keep,self-host/nats-workers/warehouse-workers,reference,no,
self-host/production-deployment-checklist,keep,self-host/production-deployment-checklist,reference,no,
self-host/self-host-lightdash-docker-compose,keep,self-host/self-host-lightdash-docker-compose,tutorial,no,
self-host/self-host-lightdash,keep,self-host/self-host-lightdash,tutorial,no,
self-host/update-lightdash,merge,self-host/upgrading,reference,yes,merge with upgrading-lightdash-versioning + checklist upgrade content: mechanics+policy+rollback in one page
self-host/upgrading-lightdash-versioning,merge,self-host/upgrading,reference,yes,see update-lightdash
snippets/embedding-availability,keep,snippets/embedding-availability,docs,no,active snippet
snippets/liquid-templating,keep,snippets/liquid-templating,reference,no,active snippet
timezones-draft,merge,personal-settings/timezone,docs,no,source material for rewrite; strip GLITCH-NNN / NEEDS-REWRITING / FLAGGED-FOR-REVIEW scaffolding; needs editorial+eng review before publish; split: merges into personal timezone page; strip draft scaffolding before publish
snippets/checklist,keep,snippets/checklist,docs,no,
